word1,word2,count,Cn1,Prob
a,despit,1,16,0.015664767
a,est,1,16,0.015664767
a,icl,2,16,0.078164767
a,ie,1,16,0.0157443
a,ist,5,16,0.265664767
a,religion,1,16,0.015704533
a,s,4,16,0.2033636
a,sound,1,16,0.016022667
aa,springfield,1,1,0.250159067
aaron,dad,1,1,0.250159067
abbi,one,1,1,0.253897137
abc,good,1,1,0.252386002
abe,elam,1,1,0.250079533
aber,compani,1,1,0.250636267
abil,feel,1,1,0.251670201
abl,breath,1,10,0.02528632
abl,face,1,10,0.02550106
abl,interview,1,10,0.02528632
abl,make,2,10,0.127934783
abl,restor,1,10,0.02514316
abl,roll,1,10,0.02521474
abl,spend,1,10,0.02550106
abl,use,1,10,0.026789502
abl,work,1,10,0.027147402
absolut,love,2,3,0.418628491
absolut,necessari,1,3,0.083439378
absurd,attempt,1,1,0.2502386
abund,strang,1,1,0.250079533
abus,st,1,1,0.250397667
academi,booth,1,2,0.125079533
academi,graduat,1,2,0.125397667
acaus,tomorrow,1,1,0.2504772
acceler,high,1,1,0.250874867
accept,day,1,3,0.085798869
accept,imperfect,1,3,0.083412867
accept,probabl,1,3,0.083571934
access,almost,1,4,0.062818134
access,can,1,4,0.066794804
access,inappropri,1,4,0.062579533
access,think,1,4,0.064567869
accid,much,1,2,0.127226935
accid,result,1,2,0.125318134
accompani,add,1,1,0.250397667
accord,kice,1,4,0.062659067
accord,memphi,1,4,0.062818134
accord,po,1,4,0.0629772
accord,size,1,4,0.062579533
account,digniti,1,4,0.062579533
account,number,1,4,0.063136267
account,say,1,4,0.064567869
account,sorri,1,4,0.062897667
accus,board,1,1,0.2502386
achiev,nozzl,1,1,0.250079533
achill,tendon,1,1,0.250079533
acknowledg,now,1,1,0.251908802
acr,parcel,1,1,0.250079533
across,chest,1,1,0.250159067
act,like,1,3,0.088582538
act,savag,1,3,0.083412867
act,trampl,1,3,0.083412867
actin,like,1,1,0.255249205
action,committe,1,2,0.125079533
action,violat,1,2,0.125079533
activ,chloe,1,4,0.062579533
activ,hey,1,4,0.063295334
activ,said,1,4,0.067272004
activ,thought,1,4,0.063533934
actorfest,visist,1,1,0.250079533
actress,emma,1,2,0.125079533
actress,rosi,1,2,0.125079533
actual,clean,1,9,0.028254978
actual,favorit,1,9,0.028095911
actual,happen,1,9,0.028175445
actual,hill,1,9,0.027936845
actual,like,1,9,0.033026982
actual,pay,1,9,0.028493578
actual,real,1,9,0.028414045
actual,saw,1,9,0.028175445
actual,schedul,1,9,0.027936845
acus,ruddi,1,1,0.250079533
ad,creativ,1,5,0.050318134
ad,interest,1,5,0.050318134
