word1,count,Prob
a,16,0.001696713
aa,1,0.000106045
aaron,1,0.000106045
abbi,1,0.000106045
abc,1,0.000106045
abe,1,0.000106045
aber,1,0.000106045
abil,1,0.000106045
abl,10,0.001060445
absolut,3,0.000318134
absurd,1,0.000106045
abund,1,0.000106045
abus,1,0.000106045
academi,2,0.000212089
acaus,1,0.000106045
acceler,1,0.000106045
accept,3,0.000318134
access,4,0.000318134
accid,2,0.000212089
accompani,1,0.000106045
accord,4,0.000424178
account,4,0.000424178
accus,1,0.000106045
achiev,1,0.000106045
achill,1,0.000106045
acknowledg,1,0.000106045
acr,1,0.000106045
across,1,0.000106045
act,3,0.000318134
actin,1,0.000106045
action,2,0.000212089
activ,4,0.000424178
actorfest,1,0.000106045
actress,2,0.000212089
actual,9,0.000954401
acus,1,0.000106045
ad,5,0.000530223
adam,2,0.000212089
adapt,1,0.000106045
add,5,0.000530223
addict,1,0.000106045
addit,3,0.000318134
address,2,0.000212089
adimss,1,0.000106045
adjac,1,0.000106045
administ,1,0.000106045
administr,1,0.000106045
admir,1,0.000106045
admit,2,0.000212089
adopt,1,0.000106045
ador,1,0.000106045
adrianna,1,0.000106045
adult,5,0.000424178
advanc,1,0.000106045
adventur,1,0.000106045
adversari,1,0.000106045
advic,1,0.000106045
affair,1,0.000106045
affarano,1,0.000106045
affili,1,0.000106045
affluent,1,0.000106045
afford,3,0.000318134
afrolatino,1,0.000106045
afternoon,2,0.000212089
age,6,0.000636267
agenc,4,0.000424178
agent,2,0.000106045
aggre,1,0.000106045
aggress,1,0.000106045
aggressor,1,0.000106045
ago,4,0.000318134
agua,1,0.000106045
ah,1,0.000106045
ahead,1,0.000106045
aid,1,0.000106045
aight,1,0.000106045
aim,2,0.000212089
ain,6,0.000318134
ainment,3,0.000106045
ainti,1,0.000106045
air,2,0.000212089
airplan,1,0.000106045
airpo,2,0.000212089
aka,1,0.000106045
al,3,0.000318134
ala,2,0.000212089
alaimo,1,0.000106045
alaska,1,0.000106045
alb,1,0.000106045
album,4,0.000424178
alchemi,1,0.000106045
alcotest,1,0.000106045
alex,1,0.000106045
alfalfa,1,0.000106045
ali,1,0.000106045
alien,1,0.000106045
aliv,2,0.000212089
allerg,1,0.000106045
allow,6,0.000636267
almost,4,0.000424178
along,4,0.000424178
alot,1,0.000106045
alp,1,0.000106045
alreadi,12,0.001272534
alright,1,0.000106045
also,22,0.002226935
altern,1,0.000106045
although,4,0.000424178
altogeth,1,0.000106045
alva,1,0.000106045
alvin,1,0.000106045
alway,17,0.001802757
alyssa,1,0.000106045
amaz,5,0.000530223
amazon,1,0.000106045
amboy,1,0.000106045
amen,1,0.000106045
america,4,0.000424178
american,3,0.000318134
ami,1,0.000106045
amid,1,0.000106045
among,3,0.000318134
amount,6,0.000530223
amptoptrend,1,0.000106045
analog,1,0.000106045
anchovi,2,0.000212089
anderson,2,0.000212089
andi,1,0.000106045
andr,1,0.000106045
andrad,1,0.000106045
anesthesiologist,1,0.000106045
angel,2,0.000212089
angri,2,0.000212089
anib,1,0.000106045
ankl,1,0.000106045
ann,1,0.000106045
anniversari,1,0.000106045
announc,1,0.000106045
annual,1,0.000106045
anoth,12,0.00116649
answer,4,0.000424178
ant,6,0.000106045
anti,1,0.000106045
anticip,1,0.000106045
antonio,2,0.000212089
anybodi,1,0.000106045
anymor,1,0.000106045
anyon,7,0.000742312
anyth,10,0.001060445
anytim,2,0.000212089
